,Unnamed: 0,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year,sar_flood_freq_pct,potential_ha,static_water_ha,static_weed_ha,elevation,slope,flow_accumulation_km2,csr_ratio,log_flow,urban_stress,urban_surge,water_retention_ratio,weed_clogging_ratio,biological_clogging,rain_intensity_impact
751,229,Puttenhalli Lake,0.9720263606617814,74.524997969158,5.784999847412109,2021,6.73125460273618,3.3943293367572855,1.4359560729008096,1.089715621773215,907.9137897021108,4.154666222207149,0.0917027369141578,0.02693709328413775,0.08773862132133241,0.0891374776253936,5.6231723481089535,0.42180292529176866,0.320097004131568,0.4297542241221825,5.6231723481089535
752,391,Puttenhalli Lake,0.7816458515753415,105.51499754469842,7.734999656677246,2022,6.73125460273618,3.3943293367572855,1.4359560729008096,1.089715621773215,907.9137897021108,4.154666222207149,0.0917027369141578,0.02693709328413775,0.08773862132133241,0.07167906388705637,6.0460303935784605,0.42180292529176866,0.320097004131568,0.4297542241221825,6.0460303935784605
753,553,Puttenhalli Lake,0.783768837273607,70.2199983606115,5.464999675750732,2023,6.73125460273618,3.3943293367572855,1.4359560729008096,1.089715621773215,907.9137897021108,4.154666222207149,0.0917027369141578,0.02693709328413775,0.08773862132133241,0.07187374748601694,4.283296441563791,0.42180292529176866,0.320097004131568,0.4297542241221825,4.283296441563791
754,715,Puttenhalli Lake,0.7923867459329924,90.87999772280456,7.404999732971191,2024,6.73125460273618,3.3943293367572855,1.4359560729008096,1.089715621773215,907.9137897021108,4.154666222207149,0.0917027369141578,0.02693709328413775,0.08773862132133241,0.0726640332965588,5.8676236420437204,0.42180292529176866,0.320097004131568,0.4297542241221825,5.8676236420437204
755,877,Puttenhalli Lake,0.793953638416517,94.41999849583954,7.704999923706055,2025,6.73125460273618,3.3943293367572855,1.4359560729008096,1.089715621773215,907.9137897021108,4.154666222207149,0.0917027369141578,0.02693709328413775,0.08773862132133241,0.07280772162574822,6.117412723425408,0.42180292529176866,0.320097004131568,0.4297542241221825,6.117412723425408
756,155,Rachenahalli Lake,0.0068433220045499,82.59999796561897,7.794999599456787,2020,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,5.701136422104746e-05,0.05334369228442029,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.05334369228442029
757,317,Rachenahalli Lake,0.0126827111712856,64.42999852448702,4.339999675750732,2021,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,0.00010565901552137584,0.055042962371019695,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.055042962371019695
758,479,Rachenahalli Lake,0.0042705522244634,114.18499760236593,11.094999313354492,2022,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,3.557775129272188e-05,0.04738177399806592,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.04738177399806592
759,641,Rachenahalli Lake,0.0044301990365928,60.82999871019274,5.019999980926514,2023,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,3.690776068684172e-05,0.022239599079196516,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.022239599079196516
760,803,Rachenahalli Lake,0.0042705522244634,83.36999793257564,4.539999961853027,2024,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,3.557775129272188e-05,0.019388306936155196,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.019388306936155196
761,965,Rachenahalli Lake,0.0042705522244634,101.86999773513526,4.84499979019165,2025,2.3774171766313623,35.803149432612415,30.623142358219425,14.953271175515669,886.0744925243846,0.9336393403958914,0.0083309486508369,0.00023262261998243904,0.00829643783752191,3.557775129272188e-05,0.020690824631527657,0.8550809644887911,0.41753577700984934,0.3280203467739324,0.020690824631527657
762,114,Ramapura Kere,0.0,82.59999796561897,7.794999599456787,2020,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
763,276,Ramapura Kere,0.0,64.42999852448702,4.339999675750732,2021,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
764,438,Ramapura Kere,0.0,114.18499760236593,11.094999313354492,2022,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
765,600,Ramapura Kere,0.0,60.82999871019274,5.019999980926514,2023,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
766,762,Ramapura Kere,0.0,83.36999793257564,4.539999961853027,2024,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
767,924,Ramapura Kere,0.0,101.86999773513526,4.84499979019165,2025,28.924602230643135,42.17642313589662,1.2560463888001283,22.773992989504944,872.6200596096833,1.2143102165719148,224.14503479003903,5.313203114376223,5.416744793606517,0.0,0.0,0.02977371143208756,0.539841761794838,0.9473359269975792,0.0
768,100,Sampigehalli Lake,0.6373549456621853,82.59999796561897,7.794999599456787,2020,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.026547170847484192,4.968181546148537,0.20923074700338434,0.2938713418584829,0.5802086500235407,4.968181546148537
769,262,Sampigehalli Lake,0.5982378584146871,64.42999852448702,4.339999675750732,2021,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.024917862084317108,2.5963521115415547,0.20923074700338434,0.2938713418584829,0.5802086500235407,2.5963521115415547
770,424,Sampigehalli Lake,0.541186222140358,114.18499760236593,11.094999313354492,2022,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.022541541722152857,6.004460763044184,0.20923074700338434,0.2938713418584829,0.5802086500235407,6.004460763044184
771,586,Sampigehalli Lake,0.6216491680481372,60.82999871019274,5.019999980926514,2023,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.02589299225445619,3.120678811744632,0.20923074700338434,0.2938713418584829,0.5802086500235407,3.120678811744632
772,748,Sampigehalli Lake,0.6205347823417457,83.36999793257564,4.539999961853027,2024,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.025846575751471604,2.8172278881600024,0.20923074700338434,0.2938713418584829,0.5802086500235407,2.8172278881600024
773,910,Sampigehalli Lake,0.5951372260084737,101.86999773513526,4.84499979019165,2025,22.615478971629475,2.939476521618412,0.617121175887164,0.8667666231880934,901.96859004188,2.354257771335351,0.0416520982980728,0.014121861283783949,0.04080800878860513,0.024788714238547317,2.883439735146296,0.20923074700338434,0.2938713418584829,0.5802086500235407,2.883439735146296
774,9,Sankey Tank,0.1281349707192891,79.80999792739749,9.220000267028809,2020,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.008541643502576138,1.181404464247574,0.7639683691579694,0.04295016554291814,0.053174570300636256,1.181404464247574
775,171,Sankey Tank,0.1281226872537549,58.779998514801264,8.269999504089355,2021,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.008540824670816313,1.0595745600511486,0.7639683691579694,0.04295016554291814,0.053174570300636256,1.0595745600511486
776,333,Sankey Tank,0.1322530025396065,117.69999729841948,9.09000015258789,2022,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.008816156850056234,1.20217981326523,0.7639683691579694,0.04295016554291814,0.053174570300636256,1.20217981326523
777,495,Sankey Tank,0.1330360734674074,58.109998618252575,4.605000019073486,2023,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.008868357374744847,0.6126311208548728,0.7639683691579694,0.04295016554291814,0.053174570300636256,0.6126311208548728
778,657,Sankey Tank,0.1277449706885804,76.2749980604276,6.420000076293945,2024,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.00851564559420181,0.820122721566854,0.7639683691579694,0.04295016554291814,0.053174570300636256,0.820122721566854
779,819,Sankey Tank,0.1242134743475177,97.92499818746,6.605000019073486,2025,3.67364724937715,12.466672382181216,9.53178305233326,0.535875144239438,929.2549744095024,8.118587198835796,0.0666612982749939,0.005342874785283088,0.06453348825771303,0.00828023146325318,0.8204300004345384,0.7639683691579694,0.04295016554291814,0.053174570300636256,0.8204300004345384
780,47,Sarakki Kere,0.1476565740356699,78.80777399506286,6.300819139122982,2020,3.7608105801925977,21.34402416952397,16.46087535188214,2.284651353661531,900.2288357961614,2.499963751792301,4.952043056488037,0.23190210038047498,1.783734531457589,0.7312017121981509,0.9303573677012785,0.7708558921355333,0.10698926513917405,0.12181216712971564,0.9303573677012785
