,name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,encroachment_pct
77,K100,12.931378788142233,77.63586328483962,3.105362301884071,1.0386215701493404,0.0016272501772213001,1.0369943199721192,4.980166822314292,0.3518617161968954,4.628305106117397,0.8804342333066856,9.302638108225297,1.2143171756879017,4.404321191607704,28.352061618462766
147,Thubarahalli Lake,12.958444143908917,77.72553487221501,6.992327767746869,5.529040623194377,4.742602604871762,0.8927627091775531,7.21746363312715,4.866958129256005,2.471790628643161,1.8881367557251372,1.382734178859237,0.824507019374573,2.5721861158233836,27.002978384886976
78,Kacharakanahalli Lake,13.01783394601104,77.62623351253467,6.220773588238885,0.8450203045514675,0.011298431015014649,0.8337218735364528,1.524931829558728,0.02243864500108105,1.5024931845576468,1.6697962357943668,2.831760598241768,1.5064627281343548,0.8038142605181927,26.842260244791998
117,Palace Grounds Lake,13.002096101404216,77.586246223986,3.4066349163579006,2.4212769878183007,1.5603422874969282,0.8625488621306575,3.8280881956307398,1.5608930018107097,2.2688093556293163,0.9129749990764943,0.0014622368267782166,1.0638628153163936,4.6340596405911905,26.79990728365379
145,Thippasandra Lake,12.870760238967572,77.55568900091396,0.5544916768062818,0.1425052252326915,0.04198968327840169,0.1005155419542898,0.594163013912525,0.04198968327840169,0.5521733306341233,0.14734388362809717,0.44471101515875927,0.12189036649766306,0.6983959193829307,26.5727854522104
96,Kundalahalli Lake,12.96967141322613,77.72046450298015,7.485939865890203,5.657585590218439,4.747831405045254,0.9775445705244276,8.990205993185107,4.757530328877767,4.300478711233201,1.9879981425989686,1.4562545926756016,1.1341962465094275,4.543256372000999,26.556426824336537
146,Thirumenahalli Lake,13.092869503257324,77.62884158544712,5.657482298874203,3.197523936382119,2.5355195908036574,0.7055710573857127,4.508463705251358,2.5562494063867307,1.9957810106718774,1.4860900185464097,0.8565770451699048,0.5114796711082708,2.7518140325284466,26.267691881990167
139,Srigandakaval Lake,12.984127976947043,77.50060904903768,0.608447892040178,0.20940602129718058,0.026872900403091315,0.18253312089408924,0.5377110406065299,0.03108267390681245,0.5066283666997174,0.14895620330511353,0.6221596769026214,0.2514024232767143,0.9450143987623228,24.481341007797823
101,Lingadeeranahalli Lake,12.872038845153895,77.51410160549611,1.7507136425900918,0.6663091149079564,0.0,0.6663091149079564,1.1907281419527143,0.0,1.1907281419527143,0.42719059992272873,0.353971765557582,0.9749027565914976,1.8167710320975115,24.400940823807254
52,Garudacharpalya Lake,12.99079880972868,77.69592357748239,1.1024244912270942,0.6210294405369977,0.47110227368273755,0.14992716685426,1.1763179572824713,0.500785162574419,0.6755327947080526,0.26378431705100863,1.3188831985967298,0.14884469221227306,0.694131254235062,23.927653925521355
