,name,lat,lon,year,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha
132,Yelahanka Lake,13.11353974982512,77.59347334803519,2020,96.00122626501349,89.51247183952482,84.55907263176412,5.291004064351999,99.32724888379563,84.73514818878174,14.969642901587395,7.469220882164447,5.3314021071220825,5.294535572743135,13.731379329696347
29,Madiwala Lake,12.906492240214549,77.6163313324215,2025,82.73265795340143,67.88344100241262,44.512875881817386,24.329734383290575,78.12115534734993,44.751976025911226,34.32834858413395,0.4155459086399453,3.442016213504567,25.31161928682811,16.702006164374286
28,Madiwala Lake,12.906492240214549,77.6163313324215,2024,82.73265795340143,66.95360783023008,61.605889429518754,5.38609275965074,77.01539330833886,61.71269114633896,15.351145075818238,4.424239118789973,5.522486858326032,9.349600160342938,11.125466957179048
27,Madiwala Lake,12.906492240214549,77.6163313324215,2023,82.73265795340143,63.9933574062811,47.564817674877695,16.874218025775964,74.03907803674139,47.63195419195736,26.85280213915656,2.8019200513263773,4.092862798716228,22.38066437006631,15.759814028658406
26,Madiwala Lake,12.906492240214549,77.6163313324215,2022,82.73265795340143,76.66513079264021,57.61730105262308,19.828465926711115,90.48987008526072,57.68223320337632,33.592414478930294,0.3901225507609049,3.777672831052891,20.122780865571222,16.419871879909767
25,Madiwala Lake,12.906492240214549,77.6163313324215,2021,82.73265795340143,74.4006253819903,63.20265427603328,11.722866227752078,86.59139183050121,63.342702567219455,23.83000697644701,0.2760610323767569,3.157949179116042,13.33026669726202,15.681958409313138
24,Madiwala Lake,12.906492240214549,77.6163313324215,2020,82.73265795340143,72.77481088247258,47.33452723057167,27.90723437718707,85.21963111838846,47.3672783279419,40.33263958777933,0.0379187367996515,3.572584819796693,31.00579384072694,16.406334728079432
611,Chudahalli Lake,12.838923505762915,77.53328950346743,2025,50.624026579206905,43.06008883991316,35.344736982864674,8.130245690056297,46.17574111522899,35.47927504348755,11.122875445215564,0.9476836189808564,0.1748959232435039,11.378005080204396,16.44463278948018
610,Chudahalli Lake,12.838923505762915,77.53328950346743,2024,50.624026579206905,40.392401600066535,32.862629872113395,7.597609740648455,42.37038281536327,32.86266787719727,9.575552950861312,2.1913447270023108,0.4275856933713428,8.88633672047634,7.558240765500535
609,Chudahalli Lake,12.838923505762915,77.53328950346743,2023,50.624026579206905,39.77628443751615,32.880914161107675,7.013641009458655,41.52727224624036,32.89174560928345,8.76151240203259,1.5588349457953965,0.062746155832328,11.433758710324168,16.597258887433835
608,Chudahalli Lake,12.838923505762915,77.53328950346743,2022,50.624026579206905,41.59098990637088,33.954613380088055,7.906854520826151,43.70605755100326,33.99653280639649,10.009950573921952,1.4722218369996316,0.0875625512545716,11.119429474735645,15.044165185391297
607,Chudahalli Lake,12.838923505762915,77.53328950346743,2021,50.624026579206905,41.28041822683298,33.04471224152209,8.409273012599572,43.8737785229552,33.06618511810303,11.00141715592029,0.8440830322774253,0.0147076618598489,11.95863758089852,17.119594494865286
606,Chudahalli Lake,12.838923505762915,77.53328950346743,2020,50.624026579206905,39.93350913410262,32.74630185005637,7.2744276835213455,42.20330264998792,32.76576046600342,9.54414518996594,0.6309059851792281,0.3385011827177159,10.235266528882804,12.308600943217543
119,Jakkur Lake,13.08676197599291,77.61032801732185,2025,49.63010447345808,44.90799510287714,39.36311138758939,41.795938679160315,52.69938961554135,39.40331905333575,49.57358902305155,1.920235310836492,2.95617788389019,20.32650861857397,15.38706604192996
118,Jakkur Lake,13.08676197599291,77.61032801732185,2024,49.63010447345808,44.87868642576926,38.08911191677317,41.68880098664227,50.93549208653469,38.1266998008728,47.73087529881496,0.2857000510600969,2.723980855958228,9.499928516758937,10.326075958652876
117,Jakkur Lake,13.08676197599291,77.61032801732185,2023,49.63010447345808,43.78119819605507,38.319723482564285,6.951841431070965,52.04645817373835,38.34201055007037,15.21478544257669,0.009681900024414,0.6988359775109381,8.108562321253759,18.913490167332053
116,Jakkur Lake,13.08676197599291,77.61032801732185,2022,49.63010447345808,42.70936115342082,38.58043967323752,4.265224775833431,53.364950779580525,38.6021191488468,14.917739053371651,0.0140103387271656,0.8955046098566991,7.7756095886619425,17.931859145286396
115,Jakkur Lake,13.08676197599291,77.61032801732185,2021,49.63010447345808,42.09713756525076,32.01627936757406,10.592698579807651,48.86241550418927,32.028277274151975,17.347269523524865,0.8326413146972657,1.320185570565018,11.4183813617452,16.58219504188986
114,Jakkur Lake,13.08676197599291,77.61032801732185,2020,49.63010447345808,45.730494774424216,39.382219626641366,32.292226684890444,54.24872925678031,39.43476705762976,40.80928420232436,0.0,2.1309973770680157,24.579416138583937,15.725722122703994
233,Kalkere Lake,13.04732105033264,77.66433496955227,2025,48.584335462332334,32.638204178152655,19.813815507226085,18.024285640531073,39.29513689619176,19.821562017059325,24.673471848736927,2.5949822619060448,1.4181082116998416,5.659887279701978,10.173486103398943
232,Kalkere Lake,13.04732105033264,77.66433496955227,2024,48.584335462332334,47.749534975460314,43.69192398608039,47.73016866839244,55.10601949248971,43.73916290512085,55.08665318542183,0.0115057784196442,1.6565021031637746,19.140362798859822,10.48512463013593
231,Kalkere Lake,13.04732105033264,77.66433496955227,2023,48.584335462332334,47.37162503615138,42.27032080090989,47.36353663284603,54.94071441142665,42.3641535949707,54.90198120067225,0.0112399683305328,0.6238207384266573,18.793210523445275,12.189925350299918
230,Kalkere Lake,13.04732105033264,77.66433496955227,2022,48.584335462332334,43.45007635653027,42.42156536961274,1.9502405841004609,51.28424890072392,42.460981851959225,9.75285714047002,0.1656380273646934,1.3183155492057053,1.7339855002190092,11.613294701924046
229,Kalkere Lake,13.04732105033264,77.66433496955227,2021,48.584335462332334,42.8054446534729,41.907674685995055,2.2811845016778696,48.00989417864928,41.957458043670655,7.437141765471815,0.20061123989928,1.0864106707494403,3.635169396583707,11.369576670475382
228,Kalkere Lake,13.04732105033264,77.66433496955227,2020,48.584335462332334,44.51534910086838,42.82442893129834,30.33280332070744,48.49434816767672,42.91609718170166,34.24063981654146,0.1130842968600404,1.5903636077611591,16.575568692860323,7.950788823819632
107,Hebbal Lake,13.04705059740462,77.58628405047017,2025,45.28392121431239,39.8343002005723,34.48135329137166,5.796136163213391,48.352403541532055,34.588591007232665,14.247975312772269,3.2108951236051673,0.934719967435949,7.892140693485034,16.97369099839753
106,Hebbal Lake,13.04705059740462,77.58628405047017,2024,45.28392121431239,40.904227103340304,34.25962487176035,7.050274255688235,50.12570918888469,34.327142150878906,16.21494754871743,3.707170780388327,0.9938476690584064,7.057974975002509,13.95461893014347
105,Hebbal Lake,13.04705059740462,77.58628405047017,2023,45.28392121431239,40.73723642115876,35.80637042862836,5.691895227978273,51.157766846516935,36.12823653640747,15.949441913655606,3.355456581803864,0.8730531051994771,7.6607281448154785,18.086220550474295
