,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year
771,Attur Lake,0.0043616786170317,77.57499824557453,5.179999828338623,2024
933,Attur Lake,0.0113078283076318,99.66999763716012,8.434999465942383,2025
22,Avalahalli Lake,0.5910297533458685,78.96999865118414,6.244999885559082,2020
184,Avalahalli Lake,0.4739857931153139,74.524997969158,5.784999847412109,2021
346,Avalahalli Lake,0.4650542589929823,105.51499754469842,7.734999656677246,2022
508,Avalahalli Lake,0.4700961053964037,70.2199983606115,5.464999675750732,2023
670,Avalahalli Lake,0.5471555506396781,90.87999772280456,7.404999732971191,2024
832,Avalahalli Lake,0.5001259693495061,94.41999849583954,7.704999923706055,2025
118,B Channasandra Lake,1.0,82.59999796561897,7.794999599456787,2020
280,B Channasandra Lake,0.9443992322456816,64.42999852448702,4.339999675750732,2021
442,B Channasandra Lake,0.8856660268714014,114.18499760236593,11.094999313354492,2022
604,B Channasandra Lake,0.9334357005758158,60.82999871019274,5.019999980926514,2023
766,B Channasandra Lake,1.0,83.36999793257564,4.539999961853027,2024
928,B Channasandra Lake,1.0,101.86999773513526,4.84499979019165,2025
65,B Narayanapura Lake,0.9741578658051598,76.81999846175313,7.144999980926514,2020
227,B Narayanapura Lake,0.9725916758539572,63.28999811597168,5.569999694824219,2021
389,B Narayanapura Lake,0.8880174184890259,97.71999745536596,8.40999984741211,2022
551,B Narayanapura Lake,0.7980904766438086,70.4099979000166,6.529999732971191,2023
713,B Narayanapura Lake,0.8479290976596208,84.55499797128141,7.349999904632568,2024
875,B Narayanapura Lake,0.7941780727264911,97.16499748453498,7.514999866485596,2025
149,BEL Lake,0.4229528128386905,79.80999792739749,9.220000267028809,2020
311,BEL Lake,0.4216325916555881,58.779998514801264,8.269999504089355,2021
473,BEL Lake,0.428721872380666,117.69999729841948,9.09000015258789,2022
635,BEL Lake,0.4765568631544691,58.109998618252575,4.605000019073486,2023
797,BEL Lake,0.4784266647835605,76.2749980604276,6.420000076293945,2024
959,BEL Lake,0.4379480692532769,97.92499818746,6.605000019073486,2025
109,Bagalagunte Lake,0.9451954694921448,77.28592444935602,6.514619734237611,2020
271,Bagalagunte Lake,0.9600709849157054,61.16542570384549,8.102913184668449,2021
433,Bagalagunte Lake,0.8896080171198912,110.14555149055646,10.54045369819858,2022
595,Bagalagunte Lake,0.8958713920350747,57.374106724696425,4.391697887469519,2023
757,Bagalagunte Lake,0.9021347669502582,75.07695185983991,7.8171282585208415,2024
919,Bagalagunte Lake,0.9365833289837674,98.59689860427883,8.215429993869957,2025
25,Basapura Lake,0.4241520124628588,66.52499807905406,6.309999942779541,2020
187,Basapura Lake,0.4144791625057229,78.96499759331346,5.670000076293945,2021
349,Basapura Lake,0.427246218278245,111.43999750632791,8.09999942779541,2022
511,Basapura Lake,0.5204841341293664,63.59999836515635,4.654999732971191,2023
673,Basapura Lake,0.5318438947048213,96.47499763779342,7.039999961853027,2024
835,Basapura Lake,0.5644237003260131,99.87499761022627,8.489999771118164,2025
27,Basavanapura Kere,0.8096156385399363,70.28999858070165,7.599999904632568,2020
189,Basavanapura Kere,0.5570554294856247,72.46499830577523,4.269999980926514,2021
351,Basavanapura Kere,0.5757837233653816,151.09499582089484,16.56999969482422,2022
513,Basavanapura Kere,0.6457929662190589,65.27499802224338,7.329999923706055,2023
675,Basavanapura Kere,0.5871177343032702,85.75499790161848,5.84499979019165,2024
837,Basavanapura Kere,0.682469592239688,118.38499637320638,7.25499963760376,2025
12,Basavanapura Pond,0.9506333314895736,78.96999865118414,6.244999885559082,2020
174,Basavanapura Pond,0.9798845806368348,74.524997969158,5.784999847412109,2021
336,Basavanapura Pond,0.9686560834854436,105.51499754469842,7.734999656677246,2022
498,Basavanapura Pond,0.8589523756844957,70.2199983606115,5.464999675750732,2023
660,Basavanapura Pond,0.9412301565352066,90.87999772280456,7.404999732971191,2024
822,Basavanapura Pond,0.8816767151575491,94.41999849583954,7.704999923706055,2025
112,Begur Lake,0.0134270254990582,66.52499807905406,6.309999942779541,2020
274,Begur Lake,7.06685552582014e-05,78.96499759331346,5.670000076293945,2021
436,Begur Lake,0.0,111.43999750632791,8.09999942779541,2022
598,Begur Lake,7.06685552582014e-05,63.59999836515635,4.654999732971191,2023
760,Begur Lake,0.0036870550569496,96.47499763779342,7.039999961853027,2024
922,Begur Lake,0.0033152770053738,99.87499761022627,8.489999771118164,2025
136,Bellandur Lake,0.0,76.81999846175313,7.144999980926514,2020
298,Bellandur Lake,0.0,63.28999811597168,5.569999694824219,2021
460,Bellandur Lake,0.0,97.71999745536596,8.40999984741211,2022
622,Bellandur Lake,0.0,70.4099979000166,6.529999732971191,2023
784,Bellandur Lake,0.0,84.55499797128141,7.349999904632568,2024
946,Bellandur Lake,0.0,97.16499748453498,7.514999866485596,2025
17,Benniganahalli Lake,0.4425470368402788,76.81999846175313,7.144999980926514,2020
179,Benniganahalli Lake,0.431882179893075,63.28999811597168,5.569999694824219,2021
341,Benniganahalli Lake,0.4272575687319782,97.71999745536596,8.40999984741211,2022
503,Benniganahalli Lake,0.458843724378088,70.4099979000166,6.529999732971191,2023
665,Benniganahalli Lake,0.4326805855384171,84.55499797128141,7.349999904632568,2024
827,Benniganahalli Lake,0.4399276521653682,97.16499748453498,7.514999866485596,2025
