name,sink_depth_2000,sink_depth_2021,total_runoff_20s,depth_change
Garudacharpalya Lake,-1.0,-1.65264892578125,0.3425130248069763,-0.65264892578125
Gowdana Kere,-4.39996337890625,-2.40179443359375,0.44680143147706985,1.9981689453125
Lalbagh Tank,-0.79998779296875,-0.81353759765625,0.44680143147706985,-0.0135498046875
Carmelaram Lake,-6.0999755859375,2.1160888671875,0.3259711489081383,8.216064453125
Byrasandra Lake,-4.5,-2.0,0.3425130248069763,2.5
Lakshmipura Lake,2.70001220703125,4.20745849609375,0.33619116246700287,1.5074462890625
Doddathogur Lake,-1.20001220703125,-2.20001220703125,0.3259711489081383,-1.0
Mathikere Lake,-0.70001220703125,-1.80792236328125,0.3591984435915947,-1.10791015625
Kasavanahalli Lake,4.60003662109375,-1.89996337890625,0.3259711489081383,-6.5
Sarakki Kere,-1.0,-1.02490234375,0.44680143147706985,-0.02490234375
Gottigere Tank,-5.29998779296875,3.05157470703125,0.44680143147706985,8.3515625
Shivapura Old Lake,0.0,5.0,0.33519773930311203,5.0
Akshaynagar Lake,-0.5999755859375,1.48114013671875,0.44680143147706985,2.08111572265625
Chunchagatta Lake,-1.0,2.0,0.44680143147706985,3.0
Horamavu Lake,-3.0,1.58056640625,0.3425130248069763,4.58056640625
Nagarbhavi Lake,-13.0,-8.288330078125,0.33519773930311203,4.711669921875
Dasarahalli Tank,0.70001220703125,2.109619140625,0.33519773930311203,1.40960693359375
Devasandra lake,1.9000244140625,-21.08837890625,0.3425130248069763,-22.9884033203125
Kattigenahalli Lake,-1.20001220703125,2.29998779296875,0.3721068203449249,3.5
Horamavu Agara Lake,-1.0999755859375,0.77392578125,0.3425130248069763,1.8739013671875
Thalaghattapura Lake,-1.79998779296875,0.20001220703125,0.4858890473842621,2.0
Agara Lake,-2.89996337890625,-4.4794921875,0.44680143147706985,-1.57952880859375
Vrishabhavati,-0.0999755859375,4.7869873046875,0.4858890473842621,4.886962890625
Gunjuru Palya Lake,-1.5999755859375,0.92962646484375,0.3259711489081383,2.52960205078125
Subramanyapura Lake,1.9000244140625,0.193603515625,0.4858890473842621,-1.7064208984375
Konanakunte Lake,-0.79998779296875,3.06134033203125,0.44680143147706985,3.861328125
Halagevader Halli Lake,-6.29998779296875,-3.5101318359375,0.4858890473842621,2.78985595703125
B Narayanapura Lake,-1.20001220703125,-0.32977294921875,0.3425130248069763,0.8702392578125
Doddakalasandra Lake,-0.29998779296875,0.20001220703125,0.44680143147706985,0.5
Puttenhalli Lake,-0.29998779296875,-1.75335693359375,0.44680143147706985,-1.453369140625
Mylasandra Tank,-1.5,-0.42279052734375,0.4858890473842621,1.07720947265625
Konasandra Lake,-3.0,2.14752197265625,0.4858890473842621,5.14752197265625
Singasandra Lake,-3.5,1.5,0.44680143147706985,5.0
Chinnappanahalli Lake,-0.5999755859375,-0.5999755859375,0.3425130248069763,0.0
Dubasi Palya Kere,-1.0,1.5,0.4858890473842621,2.5
Andrahalli Lake,3.5,0.0,0.33519773930311203,-3.5
Ambalipura Lower Lake,-3.70001220703125,3.7635498046875,0.3259711489081383,7.46356201171875
Deepanjali Nagara Kere,-3.79998779296875,0.01519775390625,0.4858890473842621,3.815185546875
