name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,flow_accumulation_km2,flow_direction_code,encroachment_pct,sar_flood_freq_pct
Basavanapura Pond,12.84469348669497,77.5892059273374,1.672612217254639,1.0043199051372054,0.4941667053985595,0.5148403066403259,1.9684505437853448,0.5040413030691707,1.4692546960130082,0.7248165469694449,1.0108237376787774,0.2794273069773156,1.154388770264769,0.9301722071648505,85.75499812404935,6.723333120346069,0.3251890242099762,1,43.33440468102826,11.295312453979504
Begur Lake,12.873969501844536,77.63054335089946,42.77824065503287,33.19044807019851,16.563823520972058,17.2348310542083,37.41178952046163,16.60500156695048,21.428547360173145,2.137416128616832,4.004247308050417,10.393041190918078,4.7043388802696695,0.0034284491119830006,86.14666446531191,6.710833152135213,0.0583600476384162,1,4.996503119081323,64.80320284868979
Bellandur Lake,12.934814572221791,77.66379709908344,315.40890498445964,177.4898502433498,43.61569722213496,143.10409591799177,199.28639936107467,43.622009739884525,164.89493402731804,5.621874184733872,4.20431912033779,51.48301717929419,34.96751181245595,0.0,81.65999789815396,7.086666504542033,114.82073211669922,128,1.7824081996070669,31.725350492079343
Benniganahalli Lake,12.996943369030944,77.66575216261633,5.834561927771472,4.412243901381149,4.075821320452722,0.3675353236055063,6.044442637100719,4.176901579356474,1.9014390715585348,2.2698707224343493,1.8940637899909925,0.3213061406563154,1.752565914524552,0.4388564579245342,81.65999789815396,7.086666504542033,1.799878478050232,4,38.90387574138463,38.57423210048116
Bheemanakatte Lake,12.915130085030173,77.52870815699806,0.7108136510662005,0.2786734424421522,0.0,0.2786734424421522,0.7145754682433682,0.0387022853108325,0.6758731829325358,0.07401692716760568,0.6503722960912167,0.35954188067018594,0.6570476731867573,0.9986642665446125,82.41583149554208,7.633333206176758,0.700210690498352,16,10.41298616825695,10.808253993288991
Bhoganahalli Lake,12.922956546158623,77.69897954422261,3.678421464221431,1.8633548993907254,1.2863014336405236,0.6190346427623276,2.636315122658723,1.2884986417134603,1.3897976579573885,1.4662366768277237,1.1748084165540706,0.2864086346266005,2.160233939422407,0.2904652198620773,81.84929779849404,7.0513411467499125,0.1750483065843582,64,39.860486110393694,26.578120741955463
Byrasandra Lake,12.97845422714567,77.66201300911695,2.8316113574517936,1.8461799891522972,1.2686629821114137,0.8349200282272639,3.8397934272182694,1.372674973126081,2.7415508267575937,0.6149125887752359,1.161726163575914,0.6228126187148748,2.3961581942265333,0.7025544400184688,81.65999789815396,7.086666504542033,0.0166674852371215,64,21.715995281520705,19.346052668081285
Byrasandra Melina Kere,12.979184836554728,77.65546759551191,4.0550177963316685,3.6345003727931604,0.4778346187591553,3.229309491699817,6.404036602944767,0.5988063375116486,5.87787400309893,0.04681494890848792,0.46419200572394076,2.7653272605447206,3.9232019468898387,0.7550223682728833,81.65999789815396,7.086666504542033,1.000026822090149,2,1.154494289786807,8.92402372814175
Carmelaram Lake,12.91761871849594,77.71071170283464,2.088082682677624,0.6876124558637033,0.11141377271016435,0.576198683153539,1.1207754447986877,0.11423791316063574,1.0065375316380518,0.4748587714590435,0.4287999854318456,0.9793083884434917,2.4672381924293862,0.345310837559995,82.73174809043606,6.886666615804036,0.7919002771377563,1,22.741377791137793,11.079473226279765
Chandrasekhar Layout Lake,12.8628251585274,77.60781823224278,1.5138408579418705,1.1983448864426955,0.1292030172983805,1.093367440077339,2.2136971735970494,0.12924735175637633,2.108675392773697,0.05068052674885668,0.7420179926903421,0.9993722801088819,1.3371180569986578,0.9423295541831814,86.14666446531191,6.710833152135213,0.3001509308815002,32,3.347810734726698,17.23614492098105
Chelekere,13.026594703315864,77.64510807725,2.9414358670911604,1.912721203994252,0.7556512711837868,1.182894002787272,4.519255952334934,0.7802601780954997,3.764819844216241,0.222074112860985,0.6602132604596505,1.4008161243373893,4.1540225181779045,0.7726560868657342,84.54749807839592,6.272499720255534,0.0083321304991841,4,7.549853979328747,11.486989799497035
Chikka Beguru Lake,12.885280762169122,77.63646809113118,9.830310219391468,5.515735648249209,0.0,5.515735648249209,6.925472784666673,0.0100883139546712,6.915384470712002,0.061081358145420796,3.1694164813252357,5.991423122406007,2.0423158971774034,0.4454414273805208,86.14666446531191,6.710833152135213,0.0416834987699985,8,0.6213573812241499,2.4231301451435976
Chikka Bellanduru Lake,12.913026726682936,77.71943122970869,20.100017533201324,5.717079116437826,2.3849447390238443,3.3547405292491046,7.953581921205708,2.3849447390238443,5.591243334016988,0.9731028606853608,1.7914811129685944,5.571111614193389,5.8407362751420955,0.053284916704556096,82.73174809043606,6.886666615804036,11.737753868103027,1,4.841303541541612,27.6462361547224
Chikkabettahalli Lake,13.091796866719235,77.55472093578341,1.86306800114052,0.5215245058431189,0.4959411987603879,0.02558330708273095,0.9120383390533847,0.6163906691233317,0.2956476699300529,1.5223097135436612,2.5248530545068886,0.025975631777196116,0.2901423846096463,0.7942804984993656,81.43333143445973,7.368333339691162,0.0083299810066819,2,81.70983091394109,20.77646375960124
Chikkalasandra lake,12.915288997678596,77.55313827002516,2.1610864384131334,0.44477926901574233,0.0,0.44477926901574233,0.6753531433853449,0.012949300178079015,0.6624038432072658,0.18325974090276975,1.9920609466413108,0.7685374470485113,0.3187559452081817,1.0,82.41583149554208,7.633333206176758,0.0333429388701915,16,8.479981996339571,2.2289294541397795
Chinnappanahalli Lake,12.965899542357478,77.7071336932344,2.6950024717682495,1.9262624875720658,1.4574698069803074,0.4971046034260669,3.4637418303550764,1.5734085009456458,1.9210066934129302,0.34630214258929476,0.9644936994759553,0.6287691903417252,2.318126228137547,0.6881904878910272,82.73174809043606,6.886666615804036,0.0416704341769218,8,12.84978942383227,17.354980455105192
Chokkanahalli Lake,13.08461334299774,77.62922109689285,2.022320230141434,0.45589922443364966,0.4146471392149083,0.04125208521874118,1.0284739288245308,0.4179313624064127,0.610542566418118,1.5278267135530357,0.9518210332055187,0.0543256796713436,1.1465483131533354,0.6160098113856286,84.54749807839592,6.272499720255534,0.283231109380722,64,75.54820897213617,21.293091265875905
Chudahalli Lake,12.838923505762915,77.53328950346743,50.624026579206905,41.00561535746706,33.472318081292045,7.722008609518412,43.30942248346317,33.51036115341187,10.002575619652943,1.2725638183533912,0.18756353681526927,10.829158227071835,14.175372686374146,0.0,85.75499812404935,6.723333120346069,6.936830520629883,4,2.513754642496333,93.18747502663513
Chunchagatta Lake,12.88777293723124,77.57546127645824,6.474151125320735,3.9153527345964023,2.819509515423744,1.1168366854863385,4.9581347233342195,2.848976199962641,2.1301519896852583,1.2256342144555983,3.3320859354565187,1.5099940302461115,1.3111755697941,0.7037603717973138,85.75499812404935,6.723333120346069,0.016673307865858,16,18.931195622883752,26.00882497829285
