name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,flow_accumulation_km2,flow_direction_code,encroachment_pct,sar_flood_freq_pct
Sheelavathana Kere,0.6757517122761753,71.5749982856214,6.924999713897705,2020,12.964500799128748,77.74300191167788,4.4653079313719495,3.406795809957467,2.059819895608939,1.3535474843103752,5.095227740361831,2.0728870834350586,3.0320270750786276,0.7887753477837058,1.4161494816320084,1.329806257853789,2.2713612456048713,5.875323295593262,8,6.141961452737628,28.628208697887985
Sheelavathana Kere,0.6577382597745628,70.74499854072928,3.994999885559082,2021,12.964500799128748,77.74300191167788,4.4653079313719495,3.5666022464916742,3.3369022541001265,0.2490727127284629,5.605414947662354,3.3708616287231443,2.253926039276123,0.8567696035617006,1.3687041722495876,0.3260700056786631,2.711351135948032,5.875323295593262,8,6.141961452737628,28.628208697887985
Sheelavathana Kere,0.6522559046653764,92.60049746092407,7.460000038146973,2022,12.964500799128748,77.74300191167788,4.4653079313719495,3.809103430059096,3.4191410853995534,0.4341398025572535,6.137634105589625,3.4483521682739258,2.737713815977807,0.0,1.6308057943216954,0.3796301086365943,2.4705213882685637,5.875323295593262,8,6.141961452737628,28.628208697887985
Sheelavathana Kere,0.6483399367302433,55.97499892022461,5.690000057220459,2023,12.964500799128748,77.74300191167788,4.4653079313719495,4.3298129419932625,2.9545374203670725,4.3298129419932625,6.674221743262796,2.9813555124230477,6.656900111454982,0.0,1.5340562036910703,3.6586414004307137,3.086689341313978,5.875323295593262,8,6.141961452737628,28.628208697887985
Sheelavathana Kere,0.6683159802205224,90.74999806657434,7.625,2024,12.964500799128748,77.74300191167788,4.4653079313719495,4.339537103810026,3.3541852613172347,4.2136143712660825,6.578535443958957,3.374659698890237,6.439127671490839,0.0,1.9310453391550089,0.969245940022188,2.0391928748456167,5.875323295593262,8,6.141961452737628,28.628208697887985
Sheelavathana Kere,0.6489480635154639,114.74499726854263,9.625,2025,12.964500799128748,77.74300191167788,4.4653079313719495,4.395642167681523,3.3014990755687044,4.376269430559941,6.745938937563428,3.3210238525570137,6.7182852418667665,0.0,1.5165435636423144,1.7614028746331911,2.9609572375607938,5.875323295593262,8,6.141961452737628,28.628208697887985
Shivapura Old Lake,0.9819901429426848,79.80999792739749,9.220000267028809,2020,13.026819980150336,77.50471602919691,1.5449986989099835,1.1974373618421366,0.0,1.1974373618421366,2.186991287898643,0.0096840377807617,2.1773072501178814,0.0,0.6360303498062433,1.3632429174774765,1.3760792875102923,0.0333283133804798,8,19.18614149014235,9.609613177242728
Shivapura Old Lake,0.9191137860619364,58.779998514801264,8.269999504089355,2021,13.026819980150336,77.50471602919691,1.5449986989099835,1.1927283764618517,0.0,1.1927283764618517,2.52069132485184,0.0387361572265625,2.4819551676252773,0.0677881462097167,0.3450167792316512,1.2892646363770723,1.8681793259504724,0.0333283133804798,8,19.18614149014235,9.609613177242728
Shivapura Old Lake,0.8794122614423235,117.69999729841948,9.09000015258789,2022,13.026819980150336,77.50471602919691,1.5449986989099835,0.638385260189281,0.0,0.638385260189281,1.7127789192708334,0.0193680755615234,1.6934108437093098,0.0,0.4190709715570188,1.150954147036683,1.854811321904799,0.0333283133804798,8,19.18614149014235,9.609613177242728
Shivapura Old Lake,1.0,58.109998618252575,4.605000019073486,2023,13.026819980150336,77.50471602919691,1.5449986989099835,0.1492478876241048,0.0,0.1492478876241048,0.4739467633266074,0.0,0.4739467633266074,0.8205965576860017,0.8941940342832079,0.066610901704676,0.9474387689029466,0.0333283133804798,8,19.18614149014235,9.609613177242728
