elevation,name,slope
883.0846858390285,Horamavu Agara Lake,2.199969580170722
865.6154624399292,Thalaghattapura Lake,3.957907807820965
877.3054382884401,Agara Lake,1.8447189205626702
794.27712213849,Vrishabhavati,2.98550707535742
875.3779082177159,Gunjuru Palya Lake,2.5322100696737384
848.3974713916571,Subramanyapura Lake,5.9660837584621715
905.9808628504279,Konanakunte Lake,1.591440794200571
813.2840977488863,Halagevader Halli Lake,1.8609567662503463
894.8993122420907,B Narayanapura Lake,0.8934365471914677
893.0858338737252,Doddakalasandra Lake,2.8624531626139147
907.9137897021109,Puttenhalli Lake,4.154666222207149
800.4463203463206,Mylasandra Tank,4.739973259901073
783.7312269718609,Konasandra Lake,2.4145102898862874
905.3967632027257,Singasandra Lake,2.165643883665336
884.5299423703334,Chinnappanahalli Lake,3.254765010640246
807.594958968347,Dubasi Palya Kere,5.636861841416285
881.0625301088738,Andrahalli Lake,4.155460433965014
889.1963868556297,Ambalipura Lower Lake,2.455391372852358
823.3274123859818,Deepanjali Nagara Kere,2.8332947883763913
841.104688359074,Mallathahalli Lake,7.078656158295264
884.8959573476885,Doddakannelli Lake,2.734282358745787
901.6244083956375,Gantiganahalli Lake,1.4514582781432237
841.7685274302213,Bheemanakatte Lake,3.79557905447265
894.8550937831823,Yelahanka Lake,1.4298162713142182
881.4386272657756,Mahadevapura Lake,3.134010608683218
869.3307054780678,ISRO Layout Lake,2.874061330776396
820.992271919025,Nagarbhavi Thorai,3.4394094727483977
885.0517538815403,Kaggadasapura Lake,2.017095518326401
800.8496283754699,Hosakere,4.5425077633789055
889.4597730900306,Haralur Lake,1.709064359362741
872.6772201994618,Chikkalasandra lake,2.6148338175110557
926.8016501650163,Subrayana Lake,3.0070250494842083
900.6083061584014,Puttenahalli Lake,1.8046080280473609
890.1986281068728,Singapura Kere,2.9134772851272603
883.2153296621522,Lal Bahadur Shastri Nagar Lake,1.7551031867189935
908.5559655596559,Yediyur Lake,6.183740381332762
887.1413166855839,Chelekere,2.322881474685046
881.4219958323691,Vengayyana Lake,3.9669568428606246
875.4322542145312,Doddabidirakallu Kere,2.068982772977961
891.344560933368,Hebbal Lake,2.1100325744288795
890.467946100449,Vijinapura Lake,2.510791979404603
908.4819949281487,Narsipura Lake,2.7392874941166836
892.0808792447511,Kadiranpalaya Kere,3.9253598418020097
901.9685900418799,Sampigehalli Lake,2.354257771335351
896.4728568998751,Kogilu Lake,2.9127411803872496
879.0513358185773,Munekolala Lake,4.561316348091534
908.8387670731071,Veerasagara Lake,3.838178327942738
877.8188265234862,Gunjuru Lake,3.495601685653619
867.6301820406911,Sheelavathana Kere,2.4788461147699397
890.4663385120236,Nagawara Lake,5.422063741187796
827.8214214214214,Kuppareddi Kere,2.510944965425077
905.4868442162682,Parappana Agrahara Lake,3.0240551146605266
876.0931669909577,Bagalagunte Lake,2.3374683000313623
895.5232281042295,Halasuru lake,1.1106186269301668
900.5797556065356,Palanahalli Lake,2.6564485156986497
894.4553758834031,Begur Lake,0.9726873098746379
877.2130508762976,Chikka Bellanduru Lake,3.4421753802935626
872.6200596096833,Ramapura Kere,1.2143102165719148
883.0164336267909,Abbigere Lake,3.1536198584008215
837.4350832088389,Ullal Lake,3.060995942067808
882.1507210800858,Kaikondrahalli Lake,2.6746205725174335
904.0432073954988,B Channasandra Lake,2.833852870563507
912.4793931159422,Chandrasekhar Layout Lake,3.2797188685694034
895.1895933014355,Amruthalli Lake,2.1317821118622793
887.6581638720417,Kowdenahalli Lake,3.1930657765473773
813.3123753821612,Sunkalpalya Lake,3.7229932684554834
903.4767322083195,Attur Lake,1.720918639395957
881.7935894960415,Pattandur Agrahara Kunte,4.2430975449651465
901.3184163420026,Haraluru Lake,2.2900274288871487
862.8362116966929,Varthur Lake,0.9235215280310918
861.2671050768529,Anchepalya Lake,6.770881424024198
911.4272512780178,Subedharana Lake,1.9558028725484564
882.8314402544295,Pattandur Agrahara Lake,2.871590845394041
903.3574948912133,Allalasandra Lake,1.9445742989334456
786.5913495978913,Chudahalli Lake,4.2533528138264005
889.4964659034346,Ambalipura Upper Lake,2.727876231823471
876.2960466600161,Doddanekundi Lake,0.8913443299480285
899.6849426827947,Hulimavu Lake,1.217152169628232
888.5443246583803,Herohalli Kere,5.026961745882167
874.2147739150541,Bellandur Lake,1.0895780961308268
789.0215633423177,Kengeri Lake,2.5999655461696918
885.2853217940807,Madiwala Lake,1.4514626314367314
902.4898673362457,Doddabommasandra Kere,2.990850784338961
888.483299688016,Kammagondanahalli Lake,2.8391455631367473
881.8577810581928,Hoodi Lake,4.388603718957278
857.9366705024933,Dore Kere,8.264140132169041
899.2026981450252,Byrasandra Melina Kere,3.5341168363319495
853.3554694539557,Uttarahalli Lake,2.176296271693923
833.3840458835084,Hosakerahalli Lake,1.7953958415332427
902.7156621004565,Arekere lake,1.9383855966917456
876.5901072389794,Kalkere Lake,1.4560928829109367
889.0508694823924,Jakkur Lake,1.8898232886277266
931.5439063331559,BEL Lake,4.297426522909506
886.2345702385461,Vasanthapura Lake,5.250531523302621
894.8833269558561,Chikka Beguru Lake,3.662522831371432
865.1218104050326,Yellamallappa Chetty Lake,1.2065122091943175
871.2458403927192,Seegehalli Lake,2.7594611760515475
876.8223803257118,Saul Kere,2.071848072714615
886.0744925243846,Rachenahalli Lake,0.9336393403958914
917.7490755414684,Lotus Pond,3.6667288971904455
891.9527665317139,Seetharampalya Lake,5.01004541672354
803.8177601060304,Kenchanahalli Lake,3.9896550334023932
896.526699217236,Mallasandra Lake,2.443605911539551
876.6119084561677,Kempambudhi Kere,3.448942591305432
911.2257766272189,Vidyaranyapura Kere,1.472909031623214
