elevation,id,name,slope
875.7742760786139,109,Bagalagunte Lake,2.1936628919920964
888.5137136588045,23,Goshala Lake,2.1998236756271146
908.2217919615434,25,Basapura Lake,2.2182530861047955
895.0697869955151,120,Amruthalli Lake,2.2220730975893925
901.6048552208248,50,Akshaynagar Lake,2.260156474029087
886.8326641473783,93,Chelekere,2.2675554883834828
909.1017131195961,51,Chunchagatta Lake,2.328038467855025
888.4313663616281,38,Garudacharpalya Lake,2.367591078479269
890.7814253064619,97,Vijinapura Lake,2.368810515777252
782.9990003124022,6,Hemmigepura Kere,2.3744355820112393
903.325790180017,146,Arekere lake,2.3814264713043554
927.0050403225806,88,Subrayana Lake,2.3820702239710796
875.4308331564102,95,Doddabidirakallu Kere,2.3930542878615646
901.9378324075168,100,Sampigehalli Lake,2.396344409359782
892.215473214423,96,Hebbal Lake,2.409663205005335
885.4002303852551,43,Lakshmipura Lake,2.4126490448907534
925.968204488778,12,Basavanapura Pond,2.4284419618045305
889.4029779819418,74,Ambalipura Lower Lake,2.429617902848491
900.5175590097873,89,Puttenahalli Lake,2.4296419931086524
890.9388768792717,148,Jakkur Lake,2.445897895073838
910.5867711163054,44,Doddathogur Lake,2.4576124901930907
784.0887609213663,69,Konasandra Lake,2.503409852639436
883.9776441901448,57,Horamavu Agara Lake,2.5127694319384757
823.2110046671579,75,Deepanjali Nagara Kere,2.5255563557221192
896.5048360462374,159,Mallasandra Lake,2.52640444015926
853.7346396850102,144,Uttarahalli Lake,2.532017137560911
875.6760712253024,61,Gunjuru Palya Lake,2.5525659192340853
879.3768280026416,20,Deverabisanahalli Lake,2.5575820482477885
883.3859682299546,15,Bhoganahalli Lake,2.587335426123663
885.1522229804206,77,Doddakannelli Lake,2.5899902429426
900.8212348967744,111,Palanahalli Lake,2.615210593118164
828.4561082290713,107,Kuppareddi Kere,2.6287844172572696
893.2462715745966,31,Kacharakanahalli Lake,2.6398348769934916
871.8516669678348,14,Kodigehalli Lake,2.648587376955005
872.7124014798133,87,Chikkalasandra lake,2.6590939762892587
891.0685438167392,54,Dasarahalli Tank,2.6784365606010723
874.0456989247314,1,Panathur Chikka Kere,2.6982852966280033
879.3815598075416,29,K100,2.6991218571576465
908.6338311315335,98,Narsipura Lake,2.7414997250166926
905.8549854127338,2,Chokkanahalli Lake,2.7425076051643784
888.7373078714485,140,Kammagondanahalli Lake,2.7779512713246413
902.7531777906592,139,Doddabommasandra Kere,2.8023110196918593
905.9144657290138,56,Kattigenahalli Lake,2.8231957157958667
901.1827417779225,47,Sarakki Kere,2.856192301926532
883.0428999769354,129,Pattandur Agrahara Lake,2.909111156359692
